batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position,dismissed
Wriddhiman Saha,c Dhoni b Chahar,54,39.0,63,5.0,1.0,138.46,1370353,1,1
Shubman Gill,st Dhoni b Jadeja,39,20.0,34,7.0,0.0,195.00,1370353,2,1
Sai Sudharsan,lbw b Pathirana,96,47.0,58,8.0,6.0,204.25,1370353,3,1
Hardik Pandya,not out ,21,12.0,32,0.0,2.0,175.00,1370353,4,0
Rashid Khan,c Gaikwad b Pathirana,0,2.0,2,0.0,0.0,0.00,1370353,5,1
Wriddhiman Saha,st Ishan Kishan b Chawla,18,16.0,31,3.0,0.0,112.50,1370352,1,1
Shubman Gill,c David b Madhwal,129,60.0,86,7.0,10.0,215.00,1370352,2,1
Sai Sudharsan,retired out ,43,31.0,68,5.0,1.0,138.70,1370352,3,1
Hardik Pandya,not out ,28,13.0,20,2.0,2.0,215.38,1370352,4,0
Rashid Khan,not out ,5,2.0,6,1.0,0.0,250.00,1370352,5,0
Ishan Kishan,c Pooran b Yash Thakur,15,12.0,18,3.0,0.0,125.00,1370351,1,1
Rohit Sharma,c Badoni b Naveen-ul-Haq,11,10.0,11,1.0,1.0,110.00,1370351,2,1
Cameron Green, b Naveen-ul-Haq,41,23.0,38,6.0,1.0,178.26,1370351,3,1
Suryakumar Yadav,c Gowtham b Naveen-ul-Haq,33,20.0,29,2.0,2.0,165.00,1370351,4,1
Tilak Varma,c Hooda b Naveen-ul-Haq,26,22.0,43,0.0,2.0,118.18,1370351,5,1
Tim David,c Hooda b Yash Thakur,13,13.0,29,1.0,0.0,100.00,1370351,6,1
Nehal Wadhera,c Ravi Bishnoi b Yash Thakur,23,12.0,23,2.0,2.0,191.66,1370351,7,1
Chris Jordan,c Hooda b Mohsin Khan,4,7.0,7,0.0,0.0,57.14,1370351,8,1
Hrithik Shokeen,not out ,0,1.0,6,0.0,0.0,0.00,1370351,9,0
Ruturaj Gaikwad,c Miller b Sharma,60,44.0,48,7.0,1.0,136.36,1370350,1,1
Devon Conway,c Rashid Khan b Mohammed Shami,40,34.0,74,4.0,0.0,117.64,1370350,2,1
Shivam Dube, b Noor Ahmad,1,3.0,4,0.0,0.0,33.33,1370350,3,1
Ajinkya Rahane,c Shubman Gill b Nalkande,17,10.0,15,0.0,1.0,170.00,1370350,4,1
Ambati Rayudu,c Shanaka b Rashid Khan,17,9.0,15,1.0,1.0,188.88,1370350,5,1
Ravindra Jadeja, b Mohammed Shami,22,16.0,25,2.0,0.0,137.50,1370350,6,1
MS Dhoni,c Pandya b Sharma,1,2.0,4,0.0,0.0,50.00,1370350,7,1
Moeen Ali,not out ,9,4.0,7,0.0,1.0,225.00,1370350,8,0
Virat Kohli,not out ,101,61.0,102,13.0,1.0,165.57,1359544,1,0
Faf du Plessis,c Tewatia b Noor Ahmad,28,19.0,35,5.0,0.0,147.36,1359544,2,1
Glenn Maxwell, b Rashid Khan,11,5.0,7,1.0,1.0,220.00,1359544,3,1
Mahipal Lomror,st Saha b Noor Ahmad,1,3.0,5,0.0,0.0,33.33,1359544,4,1
Michael Bracewell,c & b Mohammed Shami,26,16.0,26,5.0,0.0,162.50,1359544,5,1
Dinesh Karthik,c Saha b Yash Dayal,0,1.0,2,0.0,0.0,0.00,1359544,6,1
Anuj Rawat,not out ,23,15.0,30,1.0,1.0,153.33,1359544,7,0
Vivrant Sharma,c sub (Ramandeep Singh) b Madhwal,69,47.0,69,9.0,2.0,146.80,1359543,1,1
Mayank Agarwal,c Ishan Kishan b Madhwal,83,46.0,84,8.0,4.0,180.43,1359543,2,1
Heinrich Klaasen, b Madhwal,18,13.0,31,2.0,0.0,138.46,1359543,3,1
Glenn Phillips,c Kartikeya b Jordan,1,4.0,8,0.0,0.0,25.00,1359543,4,1
