batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position
Wriddhiman Saha †,c †Dhoni b Chahar,54,39,63,5,1,138.46,1370353,1
Shubman Gill ,st †Dhoni b Jadeja,39,20,34,7,0,195.00,1370353,2
Sai Sudharsan ,lbw b Pathirana,96,47,58,8,6,204.25,1370353,3
Hardik Pandya (c),not out ,21,12,32,0,2,175.00,1370353,4
Rashid Khan ,c Gaikwad b Pathirana,0,2,2,0,0,0.00,1370353,5
Extras,"(b 1, lb 1, w 2)",4,,,,,,1370353,6
TOTAL,20 Ov (RR: 10.70),214/4,,,,,,1370353,7
Wriddhiman Saha †,st †Ishan Kishan b Chawla,18,16,31,3,0,112.50,1370352,1
Shubman Gill ,c David b Madhwal,129,60,86,7,10,215.00,1370352,2
Sai Sudharsan ,retired out ,43,31,68,5,1,138.70,1370352,3
Hardik Pandya (c),not out ,28,13,20,2,2,215.38,1370352,4
Rashid Khan ,not out ,5,2,6,1,0,250.00,1370352,5
Extras,"(lb 2, nb 2, w 6)",10,,,,,,1370352,6
TOTAL,20 Ov (RR: 11.65),233/3,,,,,,1370352,7
Ishan Kishan †,c †Pooran b Yash Thakur,15,12,18,3,0,125.00,1370351,1
Rohit Sharma (c),c Badoni b Naveen-ul-Haq,11,10,11,1,1,110.00,1370351,2
Cameron Green , b Naveen-ul-Haq,41,23,38,6,1,178.26,1370351,3
Suryakumar Yadav ,c Gowtham b Naveen-ul-Haq,33,20,29,2,2,165.00,1370351,4
Tilak Varma ,c Hooda b Naveen-ul-Haq,26,22,43,0,2,118.18,1370351,5
Tim David ,c Hooda b Yash Thakur,13,13,29,1,0,100.00,1370351,6
Nehal Wadhera ,c Ravi Bishnoi b Yash Thakur,23,12,23,2,2,191.66,1370351,7
Chris Jordan ,c Hooda b Mohsin Khan,4,7,7,0,0,57.14,1370351,8
Hrithik Shokeen ,not out ,0,1,6,0,0,0.00,1370351,9
Extras,"(b 8, lb 2, w 6)",16,,,,,,1370351,10
TOTAL,20 Ov (RR: 9.10),182/8,,,,,,1370351,11
Ruturaj Gaikwad ,c Miller b Sharma,60,44,48,7,1,136.36,1370350,1
Devon Conway ,c Rashid Khan b Mohammed Shami,40,34,74,4,0,117.64,1370350,2
Shivam Dube , b Noor Ahmad,1,3,4,0,0,33.33,1370350,3
Ajinkya Rahane ,c Shubman Gill b Nalkande,17,10,15,0,1,170.00,1370350,4
Ambati Rayudu ,c Shanaka b Rashid Khan,17,9,15,1,1,188.88,1370350,5
Ravindra Jadeja , b Mohammed Shami,22,16,25,2,0,137.50,1370350,6
MS Dhoni (c)†,c Pandya b Sharma,1,2,4,0,0,50.00,1370350,7
Moeen Ali ,not out ,9,4,7,0,1,225.00,1370350,8
Extras,"(b 1, lb 2, nb 2)",5,,,,,,1370350,9
TOTAL,20 Ov (RR: 8.60),172/7,,,,,,1370350,10
Virat Kohli ,not out ,101,61,102,13,1,165.57,1359544,1
Faf du Plessis (c),c Tewatia b Noor Ahmad,28,19,35,5,0,147.36,1359544,2
Glenn Maxwell , b Rashid Khan,11,5,7,1,1,220.00,1359544,3
Mahipal Lomror ,st †Saha b Noor Ahmad,1,3,5,0,0,33.33,1359544,4
Michael Bracewell ,c & b Mohammed Shami,26,16,26,5,0,162.50,1359544,5
Dinesh Karthik ,c †Saha b Yash Dayal,0,1,2,0,0,0.00,1359544,6
Anuj Rawat †,not out ,23,15,30,1,1,153.33,1359544,7
Extras,"(lb 2, w 5)",7,,,,,,1359544,8
TOTAL,20 Ov (RR: 9.85),197/5,,,,,,1359544,9
Vivrant Sharma ,c sub (Ramandeep Singh) b Madhwal,69,47,69,9,2,146.80,1359543,1
Mayank Agarwal ,c †Ishan Kishan b Madhwal,83,46,84,8,4,180.43,1359543,2
Heinrich Klaasen †, b Madhwal,18,13,31,2,0,138.46,1359543,3
Glenn Phillips ,c Kartikeya b Jordan,1,4,8,0,0,25.00,1359543,4
Aiden Markram (c),not out ,13,7,19,0,1,185.71,1359543,5
Harry Brook , b Madhwal,0,1,2,0,0,0.00,1359543,6
Sanvir Singh ,not out ,4,3,8,1,0,133.33,1359543,7
Extras,"(lb 5, nb 1, w 6)",12,,,,,,1359543,8
TOTAL,20 Ov (RR: 10.00),200/5,,,,,,1359543,9
Karan Sharma ,c Thakur b Harshit Rana,3,5,15,0,0,60.00,1359542,1
Quinton de Kock †,c Russell b Varun,28,27,55,0,2,103.70,1359542,2
Prerak Mankad ,c Harshit Rana b Arora,26,20,22,5,0,130.00,1359542,3
Marcus Stoinis ,c Iyer b Arora,0,2,5,0,0,0.00,1359542,4
Krunal Pandya (c),c Singh b Narine,9,8,13,0,1,112.50,1359542,5
Ayush Badoni ,c Thakur b Narine,25,21,42,2,1,119.04,1359542,6
Nicholas Pooran ,c Iyer b Thakur,58,30,42,4,5,193.33,1359542,7
Krishnappa Gowtham ,not out ,11,4,9,1,1,275.00,1359542,8
Ravi Bishnoi , b Thakur,2,2,3,0,0,100.00,1359542,9
Naveen-ul-Haq ,not out ,2,3,3,0,0,66.66,1359542,10
Extras,"(b 4, lb 1, nb 2, w 5)",12,,,,,,1359542,11
TOTAL,20 Ov (RR: 8.80),176/8,,,,,,1359542,12
Ruturaj Gaikwad ,c Rossouw b Sakariya,79,50,68,3,7,158.00,1359541,1
Devon Conway ,c Aman Hakim Khan b Nortje,87,52,90,11,3,167.30,1359541,2
Shivam Dube ,c Lalit Yadav b Ahmed,22,9,21,0,3,244.44,1359541,3
MS Dhoni (c)†,not out ,5,4,14,0,0,125.00,1359541,4
Ravindra Jadeja ,not out ,20,7,12,3,1,285.71,1359541,5
Extras,"(lb 1, nb 2, w 7)",10,,,,,,1359541,6
TOTAL,20 Ov (RR: 11.15),223/3,,,,,,1359541,7
Prabhsimran Singh ,c & b Boult,2,2,3,0,0,100.00,1359540,1
Shikhar Dhawan (c),lbw b Zampa,17,12,31,2,1,141.66,1359540,2
Atharva Taide ,c Padikkal b Saini,19,12,19,3,1,158.33,1359540,3
Liam Livingstone , b Saini,9,13,16,1,0,69.23,1359540,4
Sam Curran ,not out ,49,31,72,4,2,158.06,1359540,5
Jitesh Sharma †,c sub (D Ferreira) b Saini,44,28,36,3,3,157.14,1359540,6
M Shahrukh Khan ,not out ,41,23,31,4,2,178.26,1359540,7
Extras,"(nb 1, w 5)",6,,,,,,1359540,8
TOTAL,20 Ov (RR: 9.35),187/5,,,,,,1359540,9
Abhishek Sharma ,c Lomror b Bracewell,11,14,22,2,0,78.57,1359539,1
Rahul Tripathi ,c Patel b Bracewell,15,12,25,2,1,125.00,1359539,2
Aiden Markram (c), b Shahbaz Ahmed,18,20,37,0,0,90.00,1359539,3
Heinrich Klaasen †, b Patel,104,51,62,8,6,203.92,1359539,4
Harry Brook ,not out ,27,19,37,2,1,142.10,1359539,5
Glenn Phillips ,c Parnell b Mohammed Siraj,5,4,10,1,0,125.00,1359539,6
Extras,"(b 1, w 5)",6,,,,,,1359539,7
TOTAL,20 Ov (RR: 9.30),186/5,,,,,,1359539,8
David Warner (c),c Dhawan b Curran,46,31,53,5,2,148.38,1359538,1
Prithvi Shaw ,c Taide b Curran,54,38,74,7,1,142.10,1359538,2
Rilee Rossouw ,not out ,82,37,44,6,6,221.62,1359538,3
Phil Salt †,not out ,26,14,21,2,2,185.71,1359538,4
Extras,(w 5),5,,,,,,1359538,5
TOTAL,20 Ov (RR: 10.65),213/2,,,,,,1359538,6
Deepak Hooda ,c David b Behrendorff,5,7,12,0,0,71.42,1359537,1
Quinton de Kock †,c †Ishan Kishan b Chawla,16,15,31,0,2,106.66,1359537,2
Prerak Mankad ,c †Ishan Kishan b Behrendorff,0,1,2,0,0,0.00,1359537,3
