country,year,winner,link
India,2008,Royals,/series/indian-premier-league-2007-08-313494/match-schedule-fixtures-and-results
South Africa,2009,Chargers,/series/indian-premier-league-2009-374163/match-schedule-fixtures-and-results
India,2010,Super Kings,/series/indian-premier-league-2009-10-418064/match-schedule-fixtures-and-results
India,2011,Super Kings,/series/indian-premier-league-2011-466304/match-schedule-fixtures-and-results
India,2012,KKR,/series/indian-premier-league-2012-520932/match-schedule-fixtures-and-results
India,2013,Mumbai,/series/indian-premier-league-2013-586733/match-schedule-fixtures-and-results
United Arab Emirates,2014,KKR,/series/pepsi-indian-premier-league-2014-695871/match-schedule-fixtures-and-results
India,2015,Mumbai,/series/pepsi-indian-premier-league-2015-791129/match-schedule-fixtures-and-results
India,2016,Sunrisers,/series/ipl-2016-968923/match-schedule-fixtures-and-results
India,2017,Mumbai,/series/ipl-2017-1078425/match-schedule-fixtures-and-results
India,2018,Super Kings,/series/ipl-2018-1131611/match-schedule-fixtures-and-results
India,2019,Mumbai,/series/ipl-2019-1165643/match-schedule-fixtures-and-results
United Arab Emirates,2020,Mumbai,/series/ipl-2020-21-1210595/match-schedule-fixtures-and-results
United Arab Emirates,2021,Super Kings,/series/ipl-2021-1249214/match-schedule-fixtures-and-results
India,2022,Titans,/series/indian-premier-league-2022-1298423/match-schedule-fixtures-and-results
India,2023,Super Kings,/series/indian-premier-league-2023-1345038/match-schedule-fixtures-and-results
