bowling,over,maiden,run,wickets,economy_rate,0s,4s,6s,wide,no_ball,match_id
Deepak Chahar,4,0,38,1,9.50,5,3,1,0,0,1370353
Tushar Deshpande,4,0,56,0,14.00,4,7,3,0,0,1370353
Maheesh Theekshana,4,0,36,0,9.00,8,3,2,0,0,1370353
Ravindra Jadeja,4,0,38,1,9.50,3,3,1,0,0,1370353
Matheesha Pathirana,4,0,44,2,11.00,7,4,2,2,0,1370353
Jason Behrendorff,4,0,28,0,7.00,8,4,0,0,0,1370352
Cameron Green,3,0,35,0,11.66,4,3,2,0,0,1370352
Akash Madhwal,4,0,52,1,13.00,7,3,4,0,2,1370352
Chris Jordan,4,0,56,0,14.00,6,6,3,4,0,1370352
Piyush Chawla,3,0,45,1,15.00,0,2,3,1,0,1370352
Kumar Kartikeya,2,0,15,0,7.50,2,0,1,0,0,1370352
Krunal Pandya,4,0,38,0,9.50,7,5,1,0,0,1370351
Krishnappa Gowtham,1,0,8,0,8.00,4,2,0,0,0,1370351
Naveen-ul-Haq,4,0,38,4,9.50,10,3,2,3,0,1370351
Yash Thakur,4,0,34,3,8.50,12,3,2,2,0,1370351
Mohsin Khan,3,0,24,1,8.00,9,1,2,0,0,1370351
Ravi Bishnoi,4,0,30,0,7.50,4,1,1,1,0,1370351
Mohammed Shami,4,0,28,2,7.00,10,2,1,0,1,1370350
Darshan Nalkande,4,0,44,1,11.00,9,4,2,0,1,1370350
Rashid Khan,4,0,37,1,9.25,5,2,1,0,0,1370350
Noor Ahmad,4,0,29,1,7.25,6,3,0,0,0,1370350
Mohit Sharma,4,0,31,2,7.75,4,3,0,0,0,1370350
Mohammed Shami,4,0,39,1,9.75,9,7,0,1,0,1359544
Yash Dayal,4,0,39,1,9.75,7,5,1,0,0,1359544
Rashid Khan,4,0,24,1,6.00,5,1,0,0,0,1359544
Noor Ahmad,4,0,39,2,9.75,6,4,1,2,0,1359544
Mohit Sharma,4,0,54,0,13.50,2,8,1,2,0,1359544
Jason Behrendorff,3,0,36,0,12.00,7,4,2,3,0,1359543
Cameron Green,1,0,2,0,2.00,4,0,0,0,0,1359543
Chris Jordan,4,0,42,1,10.50,6,5,1,1,0,1359543
Akash Madhwal,4,0,37,4,9.25,7,4,1,0,1,1359543
Piyush Chawla,4,0,39,0,9.75,4,3,2,0,0,1359543
Kumar Kartikeya,4,0,39,0,9.75,6,4,1,1,0,1359543
Harshit Rana,3,0,21,1,7.00,11,3,1,0,0,1359542
Vaibhav Arora,4,0,30,2,7.50,9,1,1,3,1,1359542
Varun Chakravarthy,4,0,38,1,9.50,10,4,2,0,0,1359542
Nitish Rana,1,0,3,0,3.00,4,0,0,0,0,1359542
Shardul Thakur,2,0,27,2,13.50,3,0,3,1,1,1359542
Sunil Narine,4,0,28,2,7.00,8,2,1,1,0,1359542
Suyash Sharma,1,0,12,0,12.00,2,1,1,0,0,1359542
Andre Russell,1,0,12,0,12.00,2,1,1,0,0,1359542
Khaleel Ahmed,4,0,45,1,11.25,9,4,3,2,1,1359541
Lalit Yadav,2,0,32,0,16.00,1,3,2,2,0,1359541
Axar Patel,3,0,32,0,10.66,3,0,3,0,0,1359541
Anrich Nortje,4,0,43,1,10.75,8,4,3,0,0,1359541
Chetan Sakariya,4,0,36,1,9.00,9,5,0,3,1,1359541
Kuldeep Yadav,3,0,34,0,11.33,2,1,3,0,0,1359541
Trent Boult,4,0,35,1,8.75,12,3,2,1,0,1359540
Sandeep Sharma,4,0,46,0,11.50,6,3,3,2,1,1359540
Navdeep Saini,4,0,40,3,10.00,9,6,1,1,0,1359540
Adam Zampa,4,0,26,1,6.50,6,2,0,0,0,1359540
Yuzvendra Chahal,4,0,40,0,10.00,9,3,3,1,0,1359540
Mohammed Siraj,4,0,17,1,4.25,16,2,0,2,0,1359539
Wayne Parnell,4,0,35,0,8.75,5,3,1,0,0,1359539
Michael Bracewell,2,0,13,2,6.50,5,2,0,0,0,1359539
Shahbaz Ahmed,3,0,38,1,12.66,4,4,2,0,0,1359539
Harshal Patel,4,0,37,1,9.25,4,3,1,1,0,1359539
Karn Sharma,3,0,45,0,15.00,0,1,4,1,0,1359539
Sam Curran,4,0,36,2,9.00,9,4,1,1,0,1359538
Kagiso Rabada,3,0,36,0,12.00,8,2,4,0,0,1359538
Arshdeep Singh,2,0,21,0,10.50,4,2,1,2,0,1359538
Nathan Ellis,4,0,46,0,11.50,6,5,2,0,0,1359538
Rahul Chahar,4,0,35,0,8.75,7,4,1,0,0,1359538
Harpreet Brar,3,0,39,0,13.00,2,3,2,2,0,1359538
Jason Behrendorff,4,0,30,2,7.50,9,0,2,1,0,1359537
Chris Jordan,4,0,50,0,12.50,7,3,4,2,0,1359537
Hrithik Shokeen,3,0,20,0,6.66,9,1,1,0,0,1359537
Piyush Chawla,3,0,26,1,8.66,5,0,2,0,0,1359537
Akash Madhwal,4,0,30,0,7.50,7,1,1,2,0,1359537
Cameron Green,2,0,16,0,8.00,5,1,1,0,0,1359537
Bhuvneshwar Kumar,4,0,30,5,7.50,11,4,0,0,0,1359536
Marco Jansen,4,0,39,1,9.75,11,3,1,4,2,1359536
Fazalhaq Farooqi,3,0,31,1,10.33,3,4,0,1,0,1359536
T Natarajan,4,0,34,1,8.50,4,4,0,0,0,1359536
Aiden Markram,1,0,13,0,13.00,0,2,0,0,0,1359536
Mayank Markande,3,0,27,0,9.00,3,4,0,0,0,1359536
Abhishek Sharma,1,0,13,0,13.00,2,1,1,1,0,1359536
Vaibhav Arora,4,0,30,1,7.50,7,2,0,1,1,1359535
Harshit Rana,2,0,19,0,9.50,5,2,1,0,0,1359535
Varun Chakravarthy,4,0,36,2,9.00,5,2,1,1,0,1359535
Sunil Narine,4,0,15,2,3.75,10,0,0,0,0,1359535
Shardul Thakur,3,0,15,1,5.00,7,1,0,1,0,1359535
Suyash Sharma,3,0,29,0,9.66,6,0,3,0,1,1359535
Sandeep Sharma,4,0,34,1,8.50,4,4,0,1,0,1359534
Adam Zampa,4,0,25,2,6.25,10,2,1,0,0,1359534
Yuzvendra Chahal,4,0,37,0,9.25,4,3,1,1,0,1359534
Ravichandran Ashwin,4,0,33,0,8.25,5,1,2,1,0,1359534
KM Asif,4,0,42,2,10.50,8,2,3,1,0,1359534
Khaleel Ahmed,4,0,36,0,9.00,11,4,1,3,0,1359533
Ishant Sharma,3,0,27,2,9.00,8,4,1,0,0,1359533
Axar Patel,4,0,27,1,6.75,12,1,1,2,0,1359533
Praveen Dubey,3,0,19,1,6.33,8,1,1,1,0,1359533
Kuldeep Yadav,4,0,32,1,8.00,9,2,2,0,0,1359533
Mitchell Marsh,1,0,21,0,21.00,0,1,2,1,0,1359533
Mukesh Kumar,1,0,3,1,3.00,3,0,0,0,0,1359533
Yudhvir Singh,3,0,24,1,8.00,8,4,0,1,0,1359532
Kyle Mayers,1,0,11,0,11.00,3,2,0,0,1,1359532
Krunal Pandya,4,0,24,2,6.00,12,2,1,0,0,1359532
Avesh Khan,2,0,30,1,15.00,2,5,1,0,0,1359532
Yash Thakur,4,0,28,1,7.00,11,1,2,0,0,1359532
Amit Mishra,4,0,40,1,10.00,8,2,3,1,0,1359532
Ravi Bishnoi,2,0,23,0,11.50,1,2,1,0,0,1359532
Mohammed Shami,4,0,53,0,13.25,9,5,4,0,0,1359531
Mohit Sharma,4,0,43,1,10.75,10,6,2,0,0,1359531
Rashid Khan,4,0,30,4,7.50,10,5,0,0,0,1359531
Noor Ahmad,4,0,38,0,9.50,7,4,1,0,0,1359531
Alzarri Joseph,4,0,52,0,13.00,5,2,5,0,0,1359531
Trent Boult,3,0,15,2,5.00,13,2,0,0,0,1359530
Sandeep Sharma,4,0,34,1,8.50,12,2,3,0,0,1359530
Ravichandran Ashwin,4,0,32,0,8.00,6,1,2,0,0,1359530
Joe Root,2,0,14,0,7.00,2,1,0,0,0,1359530
Yuzvendra Chahal,4,0,25,4,6.25,11,2,1,0,0,1359530
KM Asif,3,0,27,1,9.00,4,0,2,1,0,1359530
Khaleel Ahmed,4,0,32,1,8.00,9,1,2,2,0,1359529
Ishant Sharma,2,0,23,0,11.50,4,4,0,2,0,1359529
Lalit Yadav,3,0,34,1,11.33,6,2,3,0,0,1359529
Axar Patel,4,0,27,2,6.75,8,2,1,0,0,1359529
Kuldeep Yadav,4,0,28,1,7.00,6,0,1,3,0,1359529
Mitchell Marsh,3,0,18,3,6.00,7,1,0,3,0,1359529
Jason Behrendorff,4,0,36,3,9.00,9,5,1,0,0,1359528
Piyush Chawla,4,0,41,0,10.25,8,5,2,0,0,1359528
Cameron Green,2,0,15,1,7.50,6,3,0,0,0,1359528
Chris Jordan,4,0,48,1,12.00,7,4,3,1,0,1359528
Kumar Kartikeya,4,0,35,1,8.75,6,3,1,1,0,1359528
Akash Madhwal,2,0,23,0,11.50,1,1,1,0,1,1359528
Vaibhav Arora,3,0,32,0,10.66,8,7,0,1,0,1359527
Harshit Rana,3,0,33,2,11.00,9,4,2,0,1,1359527
Andre Russell,1,0,19,0,19.00,1,4,0,0,1,1359527
Varun Chakravarthy,4,0,26,3,6.50,11,2,1,1,0,1359527
Suyash Sharma,4,0,26,1,6.50,12,1,2,1,0,1359527
Sunil Narine,4,0,29,0,7.25,9,2,1,1,0,1359527
Nitish Rana,1,0,7,1,7.00,3,1,0,0,0,1359527
Bhuvneshwar Kumar,4,0,44,1,11.00,7,6,1,2,0,1359526
Marco Jansen,4,0,44,1,11.00,5,6,1,1,0,1359526
T Natarajan,4,0,36,0,9.00,8,4,1,1,0,1359526
Mayank Markande,4,0,51,0,12.75,7,1,6,0,0,1359526
Abhishek Sharma,2,0,15,0,7.50,5,1,1,0,0,1359526
Vivrant Sharma,2,0,18,0,9.00,4,1,1,1,0,1359526
Mohsin Khan,3,0,42,1,14.00,4,5,2,2,0,1359525
