team_1,team_2,winner,margin,ground,match_date,scorecard,match_id
Titans,Super Kings,Super Kings,5 wickets,Ahmedabad,"May 28, 2023",/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-final-1370353/full-scorecard,1370353
Titans,Mumbai,Titans,62 runs,Ahmedabad,"May 26, 2023",/series/indian-premier-league-2023-1345038/gujarat-titans-vs-mumbai-indians-qualifier-2-1370352/full-scorecard,1370352
Super Giants,Mumbai,Mumbai,81 runs,Chennai,"May 24, 2023",/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-eliminator-1370351/full-scorecard,1370351
Super Kings,Titans,Super Kings,15 runs,Chennai,"May 23, 2023",/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-gujarat-titans-qualifier-1-1370350/full-scorecard,1370350
RCB,Titans,Titans,6 wickets,Bengaluru,"May 21, 2023",/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-gujarat-titans-70th-match-1359544/full-scorecard,1359544
Mumbai,Sunrisers,Mumbai,8 wickets,Wankhede,"May 21, 2023",/series/indian-premier-league-2023-1345038/mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543/full-scorecard,1359543
KKR,Super Giants,Super Giants,1 run,Eden Gardens,"May 20, 2023",/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542/full-scorecard,1359542
Capitals,Super Kings,Super Kings,77 runs,Delhi,"May 20, 2023",/series/indian-premier-league-2023-1345038/delhi-capitals-vs-chennai-super-kings-67th-match-1359541/full-scorecard,1359541
Punjab Kings,Royals,Royals,4 wickets,Dharamsala,"May 19, 2023",/series/indian-premier-league-2023-1345038/punjab-kings-vs-rajasthan-royals-66th-match-1359540/full-scorecard,1359540
Sunrisers,RCB,RCB,8 wickets,Hyderabad,"May 18, 2023",/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-royal-challengers-bangalore-65th-match-1359539/full-scorecard,1359539
Punjab Kings,Capitals,Capitals,15 runs,Dharamsala,"May 17, 2023",/series/indian-premier-league-2023-1345038/punjab-kings-vs-delhi-capitals-64th-match-1359538/full-scorecard,1359538
Super Giants,Mumbai,Super Giants,5 runs,Lucknow,"May 16, 2023",/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-63rd-match-1359537/full-scorecard,1359537
Titans,Sunrisers,Titans,34 runs,Ahmedabad,"May 15, 2023",/series/indian-premier-league-2023-1345038/gujarat-titans-vs-sunrisers-hyderabad-62nd-match-1359536/full-scorecard,1359536
