match_id,team_1,team_2,winner,margin,ground,match_date
1370353,Titans,Super Kings,Super Kings,5 wickets,Ahmedabad,"May 28, 2023"
1370352,Titans,Mumbai,Titans,62 runs,Ahmedabad,"May 26, 2023"
1370351,Super Giants,Mumbai,Mumbai,81 runs,Chennai,"May 24, 2023"
1370350,Super Kings,Titans,Super Kings,15 runs,Chennai,"May 23, 2023"
1359544,RCB,Titans,Titans,6 wickets,Bengaluru,"May 21, 2023"
1359543,Mumbai,Sunrisers,Mumbai,8 wickets,Wankhede,"May 21, 2023"
1359542,KKR,Super Giants,Super Giants,1 run,Eden Gardens,"May 20, 2023"
1359541,Capitals,Super Kings,Super Kings,77 runs,Delhi,"May 20, 2023"
1359540,Punjab Kings,Royals,Royals,4 wickets,Dharamsala,"May 19, 2023"
1359539,Sunrisers,RCB,RCB,8 wickets,Hyderabad,"May 18, 2023"
1359538,Punjab Kings,Capitals,Capitals,15 runs,Dharamsala,"May 17, 2023"
1359537,Super Giants,Mumbai,Super Giants,5 runs,Lucknow,"May 16, 2023"
1359536,Titans,Sunrisers,Titans,34 runs,Ahmedabad,"May 15, 2023"
1359535,Super Kings,KKR,KKR,6 wickets,Chennai,"May 14, 2023"
1359534,Royals,RCB,RCB,112 runs,Jaipur,"May 14, 2023"
1359533,Capitals,Punjab Kings,Punjab Kings,31 runs,Delhi,"May 13, 2023"
1359532,Sunrisers,Super Giants,Super Giants,7 wickets,Hyderabad,"May 13, 2023"
1359531,Mumbai,Titans,Mumbai,27 runs,Wankhede,"May 12, 2023"
1359530,KKR,Royals,Royals,9 wickets,Eden Gardens,"May 11, 2023"
1359529,Super Kings,Capitals,Super Kings,27 runs,Chennai,"May 10, 2023"
1359528,Mumbai,RCB,Mumbai,6 wickets,Wankhede,"May 9, 2023"
1359527,KKR,Punjab Kings,KKR,5 wickets,Eden Gardens,"May 8, 2023"
1359526,Royals,Sunrisers,Sunrisers,4 wickets,Jaipur,"May 7, 2023"
1359525,Titans,Super Giants,Titans,56 runs,Ahmedabad,"May 7, 2023"
1359524,Capitals,RCB,Capitals,7 wickets,Delhi,"May 6, 2023"
1359523,Super Kings,Mumbai,Super Kings,6 wickets,Chennai,"May 6, 2023"
1359522,Royals,Titans,Titans,9 wickets,Jaipur,"May 5, 2023"
1359521,Sunrisers,KKR,KKR,5 runs,Hyderabad,"May 4, 2023"
1359520,Punjab Kings,Mumbai,Mumbai,6 wickets,Mohali,"May 3, 2023"
1359519,Super Giants,Super Kings,no result,-,Lucknow,"May 3, 2023"
1359518,Titans,Capitals,Capitals,5 runs,Ahmedabad,"May 2, 2023"
1359517,Super Giants,RCB,RCB,18 runs,Lucknow,"May 1, 2023"
1359516,Mumbai,Royals,Mumbai,6 wickets,Wankhede,"Apr 30, 2023"
1359515,Super Kings,Punjab Kings,Punjab Kings,4 wickets,Chennai,"Apr 30, 2023"
1359514,Capitals,Sunrisers,Sunrisers,9 runs,Delhi,"Apr 29, 2023"
1359513,KKR,Titans,Titans,7 wickets,Eden Gardens,"Apr 29, 2023"
1359512,Punjab Kings,Super Giants,Super Giants,56 runs,Mohali,"Apr 28, 2023"
1359511,Royals,Super Kings,Royals,32 runs,Jaipur,"Apr 27, 2023"
1359510,RCB,KKR,KKR,21 runs,Bengaluru,"Apr 26, 2023"
1359509,Titans,Mumbai,Titans,55 runs,Ahmedabad,"Apr 25, 2023"
1359508,Sunrisers,Capitals,Capitals,7 runs,Hyderabad,"Apr 24, 2023"
1359507,KKR,Super Kings,Super Kings,49 runs,Eden Gardens,"Apr 23, 2023"
1359506,RCB,Royals,RCB,7 runs,Bengaluru,"Apr 23, 2023"
1359505,Mumbai,Punjab Kings,Punjab Kings,13 runs,Wankhede,"Apr 22, 2023"
1359504,Super Giants,Titans,Titans,7 runs,Lucknow,"Apr 22, 2023"
1359503,Super Kings,Sunrisers,Super Kings,7 wickets,Chennai,"Apr 21, 2023"
1359502,Capitals,KKR,Capitals,4 wickets,Delhi,"Apr 20, 2023"
1359501,Punjab Kings,RCB,RCB,24 runs,Mohali,"Apr 20, 2023"
1359500,Royals,Super Giants,Super Giants,10 runs,Jaipur,"Apr 19, 2023"
1359499,Sunrisers,Mumbai,Mumbai,14 runs,Hyderabad,"Apr 18, 2023"
1359498,RCB,Super Kings,Super Kings,8 runs,Bengaluru,"Apr 17, 2023"
1359497,Titans,Royals,Royals,3 wickets,Ahmedabad,"Apr 16, 2023"
1359496,Mumbai,KKR,Mumbai,5 wickets,Wankhede,"Apr 16, 2023"
1359495,Super Giants,Punjab Kings,Punjab Kings,2 wickets,Lucknow,"Apr 15, 2023"
1359494,RCB,Capitals,RCB,23 runs,Bengaluru,"Apr 15, 2023"
1359493,KKR,Sunrisers,Sunrisers,23 runs,Eden Gardens,"Apr 14, 2023"
1359492,Punjab Kings,Titans,Titans,6 wickets,Mohali,"Apr 13, 2023"
1359491,Super Kings,Royals,Royals,3 runs,Chennai,"Apr 12, 2023"
1359490,Capitals,Mumbai,Mumbai,6 wickets,Delhi,"Apr 11, 2023"
1359489,RCB,Super Giants,Super Giants,1 wicket,Bengaluru,"Apr 10, 2023"
1359488,Sunrisers,Punjab Kings,Sunrisers,8 wickets,Hyderabad,"Apr 9, 2023"
1359487,Titans,KKR,KKR,3 wickets,Ahmedabad,"Apr 9, 2023"
1359486,Mumbai,Super Kings,Super Kings,7 wickets,Wankhede,"Apr 8, 2023"
1359485,Royals,Capitals,Royals,57 runs,Guwahati,"Apr 8, 2023"
1359484,Super Giants,Sunrisers,Super Giants,5 wickets,Lucknow,"Apr 7, 2023"
1359483,KKR,RCB,KKR,81 runs,Eden Gardens,"Apr 6, 2023"
1359482,Royals,Punjab Kings,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023"
1359481,Capitals,Titans,Titans,6 wickets,Delhi,"Apr 4, 2023"
1359480,Super Kings,Super Giants,Super Kings,12 runs,Chennai,"Apr 3, 2023"
1359479,RCB,Mumbai,RCB,8 wickets,Bengaluru,"Apr 2, 2023"
